Strain No.,Replicate,Start Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Slope,R^2,,Substrate,Climate,Region,GPS
17,c,5/4/2016,1,4.1,5.4,6.3,7,8.7,9.3,,,,,,,,0.7335322959,0.8970801908,0.2822171544,Soil,Subtropical,Florida,"29.6516344,-82.32482619999996"
18,a,5/2/2016,2,4.6,7,8.7,11.2,12.2,13.7,,,,,,,,1.132647623,0.9572957899,0.1103896538,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996"
18,b,5/4/2016,2,4.4,6.9,8.5,10,11.5,12,,,,,,,,0.9765330775,0.9284157697,0.09700997121,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996"
18,c,5/2/2016,2,4.6,7,8.7,11.2,13.1,13.7,,,,,,,,1.172457898,0.9600295429,0.1114495919,Fruit,Subtropical,Florida,"29.6516344,-82.32482619999996"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
20,a,5/4/2016,1.9,4,5.4,7.1,8.5,11.4,11.5,,,,,,,,0.9784694095,0.9702955328,0.006725137454,Strawberry,Desert,Southern CA,"33.9557962,-117.3322632"
20,b,5/4/2016,1.9,4,5.4,7.1,8.5,11,11.8,,,,,,,,0.980387977,0.9808856358,0.1183276054,Strawberry,Desert,Southern CA,"33.9557962,-117.3322632"
20,c,5/4/2016,1.9,4,5.4,7.1,8.5,10.5,12.3,,,,,,,,0.9909578626,0.9858855439,0.1344673273,Strawberry,Desert,Southern CA,"33.9557962,-117.3322632"
21,a,5/2/2016,1.7,3.2,4.6,5.7,7.1,8.6,9.7,,,,,,,,0.7809280182,0.9855763574,0.1771158533,Ragi,Tropical,Southeast Asia,"15.870032,100.99254100000007"
21,b,5/4/2016,2,4.1,6.4,8.5,10,11.7,12.3,,,,,,,,1.03140766,0.9499290727,0.4670381694,Ragi,Tropical,Southeast Asia,"15.870032,100.99254100000007"
21,c,5/4/2016,2,4.1,6.4,8.5,10,12.3,12.7,,,,,,,,1.084097207,0.9585354416,0.4181559946,Ragi,Tropical,Southeast Asia,"15.870032,100.99254100000007"
22,a,5/4/2016,1.9,4.5,6.7,9.1,11.9,18.6,20.1,,,,,,,,1.86539828,0.9783525489,0.1820829796,Fruit,Tropical,Oceania,"-7.614529200000001,110.71224649999999"
22,b,5/4/2016,1.9,4.5,6.7,9.1,11.9,16.2,19.7,,,,,,,,1.733088183,0.9911386954,0.1261459463,Fruit,Tropical,Oceania,"-7.614529200000001,110.71224649999999"
22,c,5/4/2016,1.9,4.5,6.7,9.1,11.9,14.6,17.3,,,,,,,,1.505418177,0.9940752454,0.1528296675,Fruit,Tropical,Oceania,"-7.614529200000001,110.71224649999999"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
24,a,5/2/2016,2.1,5.7,7.1,9.5,12.7,17.1,19,,,,,,,,1.670077453,0.9889726599,0.1335259263,Soil,Temperate,Europe,"51.919438,19.14513599999998"
24,b,5/2/2016,2.1,5.7,7.1,9.5,12.7,18.3,20.2,,,,,,,,1.801605912,0.9838547476,0.1839807942,Soil,Temperate,Europe,"51.919438,19.14513599999998"
24,c,5/2/2016,2.1,5.7,7.1,9.5,12.7,16.1,17.3,,,,,,,,1.514709017,0.9849998403,0.08971278121,Soil,Temperate,Europe,"51.919438,19.14513599999998"
25,a,5/2/2016,3.1,6.1,8,10.3,14.1,16.4,18.5,,,,,,,,1.534392098,0.9918098506,0.1245589221,,Antartic,Antartica,"-75.250973,-0.07138899999995374"
25,b,5/4/2016,2.5,5.4,8.5,12.6,16.5,14.4,15.8,,,,,,,,1.358239181,0.8380265601,0.07654329281,,Antartic,Antartica,"-75.250973,-0.07138899999995374"
25,c,5/2/2016,3.1,6.1,8,10.3,14.1,17,17.3,,,,,,,,1.48248419,0.9762501033,0.09869498294,,Antartic,Antartica,"-75.250973,-0.07138899999995374"
26,a,5/2/2016,1.8,3.9,5.4,7.7,10.3,12.1,15.9,,,,,,,,1.342908406,0.9903533546,0.1218079737,Soil,Tropical,Oceania,"13.9576861,124.32826030000001"
26,b,5/4/2016,0.4,3.7,6.8,8.1,11.7,11.2,12.7,,,,,,,,1.170645918,0.8927787321,0.1908481879,Soil,Tropical,Oceania,"13.9576861,124.32826030000001"
26,c,5/4/2016,0.4,3.7,6.8,8.1,11.7,11.7,13.6,,,,,,,,1.251598806,0.9232880376,0.2570440926,Soil,Tropical,Oceania,"13.9576861,124.32826030000001"
27,a,5/2/2016,2.1,3.9,5.1,6.9,8.2,9.6,11.4,,,,,,,,0.8880835643,0.9858129839,0.2707360274,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003"
27,b,5/4/2016,1,3.5,5.2,7.7,9,12.4,14,,,,,,,,1.270962126,0.9835267842,0.1336879732,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003"
27,c,5/4/2016,1,3.5,5.2,7.7,9,12.4,15.2,,,,,,,,1.349410218,0.9840307738,0.1308114471,Soil,Desert,Middle East,"31.41871419999999,73.07910730000003"
28,a,5/2/2016,2.4,5.2,7.1,8.2,9.7,11.4,14.8,,,,,,,,1.088822568,0.9570096773,0.1063700033,Tobacco,Temperate,Quebec,"52.9399159,-73.5491361"
28,b,5/4/2016,1,3.1,6.4,7.7,10,12.9,13.1,,,,,,,,1.239252469,0.9557583277,0.7809251744,Tobacco,Temperate,Quebec,"52.9399159,-73.5491361"
28,c,5/4/2016,1,3.1,6.4,7.7,10,12.9,13.6,,,,,,,,1.271939174,0.9652243183,0.6817610079,Tobacco,Temperate,Quebec,"52.9399159,-73.5491361"
29,a,11/21/16,2.1,4.1,5.1,6.1,14.3,22.5,27,,,,,,,,2.607901656,0.9393211542,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653"
29,b,11/21/16,1.1,2.1,5.2,8.3,13.2,18,21.9,,,,,,,,2.176135152,0.9932869557,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653"
29,c,11/21/16,2.4,4.8,6.3,7.8,15.8,23.7,27,,,,,,,,2.604881688,0.9600033716,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276653"
30,a,11/21/16,1.7,3.3,5,6.7,15.5,24.2,27,,,,,,,,2.764655724,0.9530871286,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276654"
30,b,11/21/16,0.6,1.2,2.3,3.4,9.7,16,18.9,,,,,,,,1.988595182,0.9403665108,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276654"
30,c,11/21/16,2.1,4.2,5.9,7.6,16.2,24.7,27,,,,,,,,2.712001705,0.9580009726,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276654"
31,a,11/21/16,1.8,3.6,4.8,6,8.6,11.2,11.7,,,,,,,,1.02995097,0.9863317587,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276655"
31,b,11/21/16,2,4,5.7,7.4,14.2,21,23.2,,,,,,,,2.276859945,0.969298633,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276655"
31,c,11/21/16,1.8,3.5,4.4,5.3,8.7,12.1,13.1,,,,,,,,1.182636964,0.9776205159,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276655"
32,a,5/2/2016,2.1,5.6,8,10.1,12.1,13.1,14.1,,,,,,,,1.135454416,0.916048266,0.05372514217,Strawberry,Subtropical,Florida,"27.7611194,-82.2276656"
32,b,5/4/2016,2.5,4.7,5.7,7.8,8.7,12.8,15.2,,,,,,,,1.211433241,0.9708606971,0.3136664962,Strawberry,Subtropical,Florida,"27.7611194,-82.2276656"
32,c,5/4/2016,2.5,4.7,5.7,7.8,8.7,15.8,18.3,,,,,,,,1.546791729,0.9346573125,0.1459031658,Strawberry,Subtropical,Florida,"27.7611194,-82.2276656"
33,a,11/21/16,1.6,3.2,5,6.8,11.7,16.6,19.1,,,,,,,,1.838254104,0.9840189146,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276657"
33,b,11/21/16,2,4,5.3,6.6,11.2,15.7,18.8,,,,,,,,1.704789313,0.9772056242,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276657"
33,c,11/21/16,2,3.9,5.2,6.5,12.9,19.3,21.9,,,,,,,,2.111330207,0.9621027169,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276657"
34,a,11/21/16,1.5,2.9,4.1,5.3,5.4,5.5,6.5,,,,,,,,0.4373800895,0.8472647667,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658"
34,b,11/21/16,1.5,3,4.8,6.6,6.5,6.3,7.2,,,,,,,,0.511724579,0.7653550479,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658"
34,c,11/21/16,1.4,2.7,4.3,5.9,6.9,7.9,8.7,,,,,,,,0.7252185035,0.9581953585,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276658"
35,a,11/21/16,1.9,3.8,5.9,8,12.3,16.6,20.2,,,,,,,,1.849676686,0.9914341687,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276659"
35,b,11/21/16,2,4,5.5,7,13.8,20.5,23.2,,,,,,,,2.253783841,0.9655942266,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276659"
35,c,11/21/16,3.1,6.1,8.7,11.3,17.8,24.3,27,,,,,,,,2.495327933,0.9893565825,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276659"
36,a,11/21/16,1.6,3.2,5.2,7.2,8.8,10.4,12.3,,,,,,,,1.048319477,0.9846160907,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276660"
36,b,11/21/16,2,4,5.5,7,8.3,9.6,10.4,,,,,,,,0.814680594,0.9604928799,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276660"
36,c,11/21/16,1.3,2.5,4.8,7.1,9.5,11.9,15.1,,,,,,,,1.370763164,0.9941182916,,Strawberry,Subtropical,Florida,"27.7611194,-82.2276660"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
39,a,5/3/2016,2.4,4.9,6.7,8.6,11.4,14.1,17.4,,,,,,,,1.436793861,0.9925511398,0.195669053,Strawberry,Subtropical,Florida,"27.7611194,-82.2276663"
39,b,5/4/2016,3.5,5.5,6.1,7.4,8.5,18.5,20.6,,,,,,,,1.713511689,0.8702163797,0.2408147535,Strawberry,Subtropical,Florida,"27.7611194,-82.2276663"
39,c,5/4/2016,3.5,5.5,6.1,7.4,8.5,14.2,18.3,,,,,,,,1.372948199,0.9065328875,0.6945076889,Strawberry,Subtropical,Florida,"27.7611194,-82.2276663"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
42,a,10/3/16,1.3,2.7,3.4,4.2,5.0,5.1,5.5,,,,,,,,0.3907660058,0.8931504395,,Strawberry,Desert,Southern California,"34.0555693,-117.18253809999999"
42,b,10/3/16,0.7,1.4,1.9,2.4,3.0,3.2,3.6,,,,,,,,0.2784942798,0.9553511652,,Strawberry,Desert,Southern California,"34.0555693,-117.18253809999999"
,,,,,,,,,,,,,,,,,,,,,,,"34.0555693,-117.18253809999999"
43,a,10/3/16,1.3,2.6,2.8,3.0,3.2,3.2,3.4,,,,,,,,0.1576067647,0.663954044,,Strawberry,Temperate,Northern California,"37.35410789999999,-121.95523559999998"
43,c,10/3/16,0.5,1.0,1.2,1.4,1.7,1.8,2.1,,,,,,,,0.1430576281,0.9412116658,,Strawberry,Temperate,Northern California,"37.35410789999999,-121.95523559999998"
,,,,,,,,,,,,,,,,,,,,,,,
44,a,10/3/16,3.4,6.9,7.4,8.0,8.6,9.3,10.8,,,,,,,,0.5759788247,0.8271308988,,Strawberry,Temperate,Northern California,"36.838309,-121.7962"
44,b,10/3/16,3.0,6.0,6.7,7.4,8.2,8.4,8.9,,,,,,,,0.4860548568,0.7838587137,,Strawberry,Temperate,Northern California,"36.838309,-121.7962"
44,c,10/3/16,2.5,5.1,5.8,6.5,7.3,7.6,8.4,,,,,,,,0.4940311234,0.8476681603,,Strawberry,Temperate,Northern California,"36.838309,-121.7962"
45,a,10/3/16,1.5,3.0,3.1,3.2,3.4,3.6,4.0,,,,,,,,0.1815000355,0.7104926678,,Strawberry,Temperate,Northern California,"36.878370,-121.7931"
45,b,10/3/16,1.3,2.7,4.0,5.3,6.7,6.9,7.5,,,,,,,,0.615487103,0.9296704881,,Strawberry,Temperate,Northern California,"36.878370,-121.7931"
45,c,10/3/16,2.7,5.5,6.3,7.1,8.0,8.1,8.5,,,,,,,,0.492805372,0.7945434049,,Strawberry,Temperate,Northern California,"36.878370,-121.7931"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
47,a,10/3/16,1.1,2.3,2.5,2.8,3.1,3.4,4.1,,,,,,,,0.2432672493,0.8883471233,,Strawberry,Temperate,Northern California,"36.727454,-121.6851"
47,b,10/3/16,1.0,2.1,2.4,2.7,3.1,3.3,3.9,,,,,,,,0.2430718397,0.9003659942,,Strawberry,Temperate,Northern California,"36.727454,-121.6851"
47,c,10/3/16,1.1,2.2,2.6,3.0,3.4,3.6,4.0,,,,,,,,0.2523982093,0.889844605,,Strawberry,Temperate,Northern California,"36.727454,-121.6851"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
49,a,10/3/16,3.2,6.5,7.1,7.8,8.5,8.7,9.2,,,,,,,,0.4800504512,0.7488110912,,Strawberry,Temperate,Northern California,"36.844183, -121.745018"
49,b,10/3/16,2.8,5.6,6.8,8.1,9.4,10.2,12.0,,,,,,,,0.8158352874,0.9410568035,,Strawberry,Temperate,Northern California,"36.844183, -121.745018"
49,c,10/3/16,2.9,5.9,7.1,8.3,9.5,9.6,10.0,,,,,,,,0.6331450295,0.8247175644,,Strawberry,Temperate,Northern California,"36.844183, -121.745018"
50,a,10/3/16,2.7,5.4,7.1,8.8,10.5,11.1,12.5,,,,,,,,0.9141085767,0.9361398924,,Strawberry,Temperate,Northern California,"36.681090,-121.561483"
